window_start,window_end,window_start_ms,window_end_ms,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-11-02 20:25:59.894000+00:00,2025-11-02 23:59:57.250000+00:00,1762115159894,1762127997250,6.136227702199567e-08,-2.3760434223507804e-06,4.158698539844456e-09,14429725.261939999,0.935258,0.3041921660952232,500
2025-11-02 21:48:29.601000+00:00,2025-11-03 01:29:25.026000+00:00,1762120109601,1762133365026,5.801891382852197e-08,-8.645074927858161e-07,5.046713036224214e-09,14407626.259339998,0.936413,0.2097328862448056,500
2025-11-03 00:00:25.290000+00:00,2025-11-03 02:33:14.063000+00:00,1762128025290,1762137194063,5.726911307548472e-08,-5.634647257360022e-06,5.87702918199255e-09,14426963.823139995,0.936676,0.16014091384167917,500
2025-11-03 01:29:27.697000+00:00,2025-11-03 03:16:11.598000+00:00,1762133367697,1762139771598,1.983013063486071e-08,1.4535860562188593e-06,2.6102314216220893e-09,14407431.55602,0.936902,0.10385814101372959,500
2025-11-03 02:33:43.697000+00:00,2025-11-03 04:14:28.588000+00:00,1762137223697,1762143268588,1.3009245380939235e-08,4.727486337428222e-06,1.2928555850521425e-09,14434857.600019997,0.9389460000000002,0.16896415894218403,500
2025-11-03 03:16:17.851000+00:00,2025-11-03 05:18:45.262000+00:00,1762139777851,1762147125262,1.1729476578802286e-07,-7.55697511713065e-07,7.820203540093847e-09,14462983.761519996,0.9400640000000001,0.31117303130214924,500
2025-11-03 04:14:32.418000+00:00,2025-11-03 06:15:26.895000+00:00,1762143272418,1762150526895,1.0273892645793564e-07,-1.9810655925535416e-06,6.522158210924516e-09,14400665.763619997,0.9409839999999999,0.3325601349855577,500
2025-11-03 08:16:41.168000+00:00,2025-11-03 09:22:33.393000+00:00,1762157801168,1762161753393,7.554444884281143e-08,-3.42433815632711e-20,5.810620735806887e-23,14588791.209839998,0.9417959999999999,1.0000000000000342,500
2025-11-03 08:46:59.137000+00:00,2025-11-03 10:12:07.493000+00:00,1762159619137,1762164727493,7.554444884281355e-08,-9.005895710904001e-20,1.5298815502620916e-22,14895012.69308,0.9422960000000001,1.0000000000000902,500
2025-11-03 09:23:14.451000+00:00,2025-11-03 10:57:08.828000+00:00,1762161794451,1762167428828,9.430796459138877e-09,9.725770242199763e-07,5.526909535827407e-10,15264122.921960002,0.9429450000000001,0.36894943435730654,500
2025-11-03 10:12:11.450000+00:00,2025-11-03 11:40:32.763000+00:00,1762164731450,1762170032763,1.4790647890601973e-08,5.1517818243588265e-06,1.3553155275843017e-09,15156862.735419998,0.945226,0.19299298943744608,500
2025-11-03 10:57:15.234000+00:00,2025-11-03 12:21:26.708000+00:00,1762167435234,1762172486708,3.211725534411027e-08,3.4394955534750027e-06,2.4312858750333326e-09,15217013.271019997,0.947781,0.2594836968591182,500
2025-11-03 12:21:38.736000+00:00,2025-11-03 13:33:55.615000+00:00,1762172498736,1762176835615,2.098875168840275e-08,2.0132062206239894e-06,6.973652760896217e-10,15565515.579599999,0.9485979999999997,0.6452592920317307,500
2025-11-03 13:03:24.342000+00:00,2025-11-03 14:09:39.263000+00:00,1762175004342,1762178979263,2.6570652215803956e-08,1.3200693266468219e-06,1.969269576803641e-09,15569978.741899997,0.948941,0.26770244066561844,500
