level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L5,20,Abs (200k),0.3,0.7408797995935028,0.0007908920323082835,0.0,1376,1.2618292562843277e-05
ALL,90,Winsorized,0.3,0.7406758253080408,9.039266320320498e-05,5.5925979179769665e-92,309,3.052610624657429e-06
L2,45,Winsorized,0.3,0.7402964661993289,0.0022382601929655005,1.289871102427171e-181,615,5.3544692042034946e-05
L5,60,Winsorized,0.3,0.7390474945106632,0.0008650004673019824,1.0694936793862675e-135,460,2.4017520169517656e-05
L10,45,Abs (100k),0.3,0.7382514284620895,0.00039165458489665716,1.4296334391294912e-180,615,9.419177690815452e-06
L10,45,Abs (200k),0.3,0.7382514284620895,0.00039165458489665716,1.4296334391294912e-180,615,9.419177690815452e-06
L10,45,Raw,0.3,0.7382514284620895,0.00039165458489665716,1.4296334391294912e-180,615,9.419177690815452e-06
ALL,60,Raw,0.3,0.7353923345483095,8.428689619976781e-05,2.591946939276024e-134,460,2.3624845870382854e-06
ALL,60,Abs (100k),0.3,0.7353923345483095,8.428689619976781e-05,2.591946939276024e-134,460,2.3624845870382854e-06
ALL,60,Abs (200k),0.3,0.7353923345483095,8.428689619976781e-05,2.591946939276024e-134,460,2.3624845870382854e-06
L3,45,Winsorized,0.3,0.7351248210745487,0.0014704677498161968,5.4543779345752454e-179,615,3.565047781445329e-05
L20,45,Raw,0.3,0.7346171790126426,0.00019270386477261047,9.812113320457506e-179,615,4.67806283153839e-06
L20,45,Abs (200k),0.3,0.7346171790126426,0.00019270386477261047,9.812113320457506e-179,615,4.67806283153839e-06
L20,45,Abs (100k),0.3,0.7346171790126426,0.00019270386477261047,9.812113320457506e-179,615,4.67806283153839e-06
L10,30,Abs (100k),0.3,0.7315437018150727,0.00038999633525846816,2.1932513588589106e-264,920,7.797508310055024e-06
L10,30,Raw,0.3,0.7315437018150727,0.00038999633525846816,2.1932513588589106e-264,920,7.797508310055024e-06
L10,30,Abs (200k),0.3,0.7315437018150727,0.00038999633525846816,2.1932513588589106e-264,920,7.797508310055024e-06
L5,30,Raw,0.3,0.7311222805213826,0.0008258993166968978,4.507051592377837e-264,920,1.6530582777954867e-05
L5,30,Abs (200k),0.3,0.7311222805213826,0.0008258993166968978,4.507051592377837e-264,920,1.6530582777954867e-05
L5,30,Abs (100k),0.3,0.7311222805213826,0.0008258993166968978,4.507051592377837e-264,920,1.6530582777954867e-05
L2,30,Abs (100k),0.3,0.7308366052181237,0.002161985266165187,7.339378840139638e-264,920,4.3304122446060145e-05
L2,30,Abs (200k),0.3,0.7308366052181237,0.002161985266165187,7.339378840139638e-264,920,4.3304122446060145e-05
L2,30,Raw,0.3,0.7308366052181237,0.002161985266165187,7.339378840139638e-264,920,4.3304122446060145e-05
L10,20,Raw,0.3,0.7308326467422084,0.0003696171458509575,0.0,1376,6.051471122009677e-06
L10,20,Abs (100k),0.3,0.7308326467422084,0.0003696171458509575,0.0,1376,6.051471122009677e-06
L10,20,Abs (200k),0.3,0.7308326467422084,0.0003696171458509575,0.0,1376,6.051471122009677e-06
L3,30,Abs (100k),0.3,0.7307076783939788,0.0014140371536186505,9.144442896518123e-264,920,2.833215634897145e-05
L3,30,Abs (200k),0.3,0.7307076783939788,0.0014140371536186505,9.144442896518123e-264,920,2.833215634897145e-05
L3,30,Raw,0.3,0.7307076783939788,0.0014140371536186505,9.144442896518123e-264,920,2.833215634897145e-05
L10,60,Winsorized,0.3,0.7304565629674765,0.00040403348572080465,1.7910670490010617e-132,460,1.1468372866062261e-05
L20,20,Abs (100k),0.3,0.7294558370058688,0.00017970863874409,0.0,1376,2.9525357881294096e-06
L20,20,Raw,0.3,0.7294558370058688,0.00017970863874409,0.0,1376,2.9525357881294096e-06
L20,20,Abs (200k),0.3,0.7294558370058688,0.00017970863874409,0.0,1376,2.9525357881294096e-06
L50pct,45,Raw,0.3,0.7288174055943819,0.00015711280083451656,7.433719077898365e-176,615,3.870819063625262e-06
L50pct,45,Abs (200k),0.3,0.7288174055943819,0.00015711280083451656,7.433719077898365e-176,615,3.870819063625262e-06
L50pct,45,Abs (100k),0.3,0.7288174055943819,0.00015711280083451656,7.433719077898365e-176,615,3.870819063625262e-06
