time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
45,Pctl (5%-95%),Phase 2 (Middle),0.28087966220911337,3.9972124407078145e-06,1.0236288407029079e-14,184
45,Pctl (5%-95%),Phase 3 (Near Expiry),0.24952911784823884,3.2389646291220678e-06,4.547895705888815e-13,185
60,Raw,Phase 1 (Early),0.10603071824919526,2.402028599838851e-06,4.004535724970508e-05,153
60,Raw,Phase 2 (Middle),0.4462219038957773,3.1006656126327196e-06,4.030445613738998e-21,153
60,Raw,Phase 3 (Near Expiry),0.09440703532390246,6.664419023141127e-07,0.00010615029906180277,154
60,IQR (1.5x),Phase 1 (Early),0.0882078937823401,2.5162273789168104e-06,0.0004687808653407068,135
60,IQR (1.5x),Phase 2 (Middle),0.34934503473011713,3.693702874759194e-06,4.462667314703455e-14,135
60,IQR (1.5x),Phase 3 (Near Expiry),0.21502059023663891,2.913255318167093e-06,1.1528278532622867e-08,137
60,Pctl (1%-99%),Phase 1 (Early),0.10437067569239346,2.459758304941207e-06,5.5237040979370504e-05,150
60,Pctl (1%-99%),Phase 2 (Middle),0.39171172527203246,3.2057572409355002e-06,1.0947233396076398e-17,150
60,Pctl (1%-99%),Phase 3 (Near Expiry),0.3309761468827442,2.2604214145269815e-06,1.3588950819712594e-14,150
60,Z-Score (3),Phase 1 (Early),0.10315121271660878,2.43635346707988e-06,5.7980877079219525e-05,151
60,Z-Score (3),Phase 2 (Middle),0.3638930528730193,2.742125110938413e-06,2.467373615853178e-16,151
60,Z-Score (3),Phase 3 (Near Expiry),0.3195587670139625,2.028105093417289e-06,2.6871969921995072e-14,153
60,Winsorized,Phase 1 (Early),0.10603071824919526,2.402028599838851e-06,4.004535724970508e-05,153
60,Winsorized,Phase 2 (Middle),0.4318287277075947,3.2071862932404258e-06,2.8418621353664376e-20,153
60,Winsorized,Phase 3 (Near Expiry),0.26469932131040946,1.880516640480883e-06,8.765004785571894e-12,154
60,Abs (200k),Phase 1 (Early),0.10206658926875094,2.4313038591444505e-06,0.000100530312798856,143
60,Abs (200k),Phase 2 (Middle),0.38757564311929343,4.006987252996377e-06,1.0349165721976375e-16,143
60,Abs (200k),Phase 3 (Near Expiry),0.28065958951573733,2.661736058837607e-06,8.627212405074333e-12,144
60,Abs (100k),Phase 1 (Early),0.07627178831496423,2.8855573545454236e-06,0.0019040211122836514,124
60,Abs (100k),Phase 2 (Middle),0.2488577801412479,2.6685200206018954e-06,3.7063267361761346e-09,124
60,Abs (100k),Phase 3 (Near Expiry),0.22186957925179213,3.6628867187484226e-06,2.9603078429273405e-08,125
60,MAD (3),Phase 1 (Early),0.09974783859978185,2.5341177798255973e-06,0.00016100353751515462,138
60,MAD (3),Phase 2 (Middle),0.32451610066156333,3.7329183917487697e-06,3.063730121394331e-13,138
60,MAD (3),Phase 3 (Near Expiry),0.29685940196101834,3.2238418938981037e-06,4.09060476024637e-12,139
60,Pctl (5%-95%),Phase 1 (Early),0.09974783859978185,2.5341177798255973e-06,0.00016100353751515462,138
